Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),gFx,gFy,gFz,gFTotal,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Activity
3.41E+00,-9.24E-01,1.33E+01,1.38E+01,0.475,1.023,-3.375,3.559,1.50E+00,2.33E+00,5.36E-01,2.82E+00,running
4.40E+00,-4.16E-01,1.67E+01,1.72E+01,0.144,0.624,-2.72,2.794,1.80E+00,2.62E+00,6.58E-01,3.25E+00,running
6.04E+00,1.32E-01,2.25E+01,2.33E+01,-0.176,0.265,-2.182,2.205,2.32E+00,2.79E+00,7.41E-01,3.71E+00,running
6.64E+00,-2.83E-02,2.84E+01,2.92E+01,-0.36,0.01,-1.815,1.851,3.03E+00,2.67E+00,9.57E-01,4.15E+00,running
5.62E+00,-8.68E-01,3.22E+01,3.27E+01,-0.37,-0.155,-1.522,1.574,3.38E+00,1.67E+00,1.47E+00,4.04E+00,running
1.08E+00,9.55E-01,1.17E-01,1.44E+00,-0.252,-0.271,-1.319,1.369,3.16E+00,-2.69E-01,2.29E+00,3.91E+00,running
1.83E+00,9.53E-01,2.19E+00,3.01E+00,-0.125,-0.326,-1.219,1.268,4.91E+00,-6.22E-01,2.70E+00,5.64E+00,running
2.15E+00,8.63E-01,4.13E+00,4.74E+00,-0.052,-0.333,-1.198,1.244,5.30E+00,1.30E+00,3.05E+00,6.25E+00,running
2.26E+00,7.76E-01,6.47E+00,6.90E+00,-0.039,-0.304,-1.211,1.249,5.82E+00,2.89E+00,3.07E+00,7.19E+00,running
2.52E+00,7.04E-01,8.60E+00,8.99E+00,-0.031,-0.272,-1.198,1.229,6.21E+00,3.60E+00,2.99E+00,7.78E+00,running
2.90E+00,1.20E+00,1.04E+01,1.08E+01,0.03,-0.288,-1.112,1.149,5.99E+00,3.20E+00,2.99E+00,7.42E+00,running
3.62E+00,2.29E+00,1.19E+01,1.27E+01,0.14,-0.359,-0.953,1.028,5.32E+00,2.42E+00,2.84E+00,6.50E+00,running
3.45E+00,3.83E+00,1.30E+01,1.40E+01,0.268,-0.435,-0.746,0.904,4.40E+00,1.89E+00,2.54E+00,5.42E+00,running
2.93E+00,5.58E+00,1.37E+01,1.50E+01,0.396,-0.474,-0.554,0.829,3.24E+00,1.71E+00,2.32E+00,4.33E+00,running
3.43E+00,5.85E+00,1.53E+01,1.67E+01,0.528,-0.48,-0.41,0.823,2.14E+00,1.72E+00,2.18E+00,3.50E+00,running
3.44E+00,5.38E+00,1.78E+01,1.89E+01,0.672,-0.467,-0.33,0.882,1.27E+00,1.72E+00,2.16E+00,3.04E+00,running
3.19E+00,4.85E+00,2.09E+01,2.17E+01,0.813,-0.48,-0.312,0.995,7.14E-01,1.56E+00,2.24E+00,2.82E+00,running
2.65E+00,3.60E+00,2.40E+01,2.45E+01,0.916,-0.521,-0.325,1.103,3.56E-01,1.34E+00,2.34E+00,2.72E+00,running
2.13E+00,2.85E+00,2.63E+01,2.66E+01,0.969,-0.559,-0.327,1.165,7.56E-02,1.05E+00,2.42E+00,2.64E+00,running
2.01E+00,2.44E+00,2.78E+01,2.80E+01,0.961,-0.599,-0.307,1.174,-1.24E-01,7.02E-01,2.43E+00,2.53E+00,running
2.34E+00,2.47E+00,2.84E+01,2.86E+01,0.905,-0.644,-0.28,1.146,-2.30E-01,2.72E-01,2.34E+00,2.37E+00,running
2.53E+00,3.02E+00,2.63E+01,2.66E+01,0.806,-0.68,-0.241,1.082,-3.19E-01,-1.13E-01,2.19E+00,2.21E+00,running
2.34E+00,4.17E+00,2.20E+01,2.26E+01,0.684,-0.688,-0.182,0.987,-5.33E-01,-4.68E-01,1.97E+00,2.10E+00,running
1.92E+00,5.79E+00,1.79E+01,1.89E+01,0.573,-0.661,-0.112,0.883,-9.02E-01,-8.37E-01,1.65E+00,2.05E+00,running
1.55E+00,6.48E+00,1.46E+01,1.60E+01,0.468,-0.599,-0.061,0.762,1.99E-01,2.55E-02,-5.60E-01,5.95E-01,running
9.36E-01,6.27E+00,1.13E+01,1.30E+01,0.367,-0.523,-0.06,0.641,2.00E-01,3.16E-02,-7.11E-01,7.39E-01,running
-4.51E-01,5.28E+00,9.33E+00,1.07E+01,0.303,-0.448,-0.112,0.552,2.48E-01,-2.58E-01,-8.76E-01,9.47E-01,running
